drugid	name	pharmgkbid	rxnormid	drugbankid	atcid	umlscui	flowchart	version	guidelineid
RxNorm:1455099	vortioxetine	PA166122595	1455099	DB09068	{N06AX26}	\N	https://files.cpicpgx.org/images/flow_chart/Vortioxetine_CDS_Flow_Chart.jpg	257	100413
RxNorm:1886	caffeine	PA448710	1886	DB00201	{N06BC01}	\N	\N	106	\N
RxNorm:10169	sulfacetamide	PA451536	10169	DB00634	{D10AF06,S01AB04}	\N	\N	214	2405438
RxNorm:214555	etanercept	PA449515	214555	DB00005	{L04AB01}	\N	\N	105	\N
RxNorm:73178	iloperidone	PA161199368	73178	\N	\N	\N	\N	106	\N
RxNorm:51499	irinotecan	PA450085	51499	DB00762	{L01XX19}	\N	\N	106	\N
RxNorm:10171	sulfadiazine	PA451539	10171	DB00359	{J01EC02}	\N	https://files.cpicpgx.org/images/flow_chart/G6PD_Low-to-no_Risk_Drug_CDS_Flow_Chart.jpg	215	2405438
RxNorm:10178	sulfadimidine	PA451542	10178	DB01582	{J01EB03}	\N	https://files.cpicpgx.org/images/flow_chart/G6PD_Low-to-no_Risk_Drug_CDS_Flow_Chart.jpg	167	2405438
RxNorm:10831	sulfamethoxazole / trimethoprim	PA10715	10831	NA	{NA}	\N	https://files.cpicpgx.org/images/flow_chart/G6PD_Low-to-no_Risk_Drug_CDS_Flow_Chart.jpg	273	2405438
RxNorm:28439	lamotrigine	PA450164	28439	DB00555	{N03AX09}	\N	\N	106	\N
RxNorm:10184	sulfanilamide	PA451545	10184	DB00259	{D06BA05,J01EB06}	\N	https://files.cpicpgx.org/images/flow_chart/G6PD_Low-to-no_Risk_Drug_CDS_Flow_Chart.jpg	167	2405438
RxNorm:43611	latanoprost	PA164774763	43611	DB00654	{S01EE01}	\N	\N	106	\N
RxNorm:36437	sertraline	PA451333	36437	DB01104	{N06AB06}	\N	https://files.cpicpgx.org/images/flow_chart/Sertraline_CDS_Flow_Chart.jpg	393	100413
RxNorm:9524	sulfasalazine	PA451547	9524	DB00795	{A07EC01}	\N	https://files.cpicpgx.org/images/flow_chart/G6PD_Low-to-no_Risk_Drug_CDS_Flow_Chart.jpg	215	2405438
RxNorm:10207	sulfisoxazole	PA164748964	10207	DB00263	{J01EB05,S01AB02}	\N	https://files.cpicpgx.org/images/flow_chart/G6PD_Low-to-no_Risk_Drug_CDS_Flow_Chart.jpg	215	2405438
RxNorm:39786	venlafaxine	PA451866	39786	DB00285	{N06AX16}	\N	https://files.cpicpgx.org/images/flow_chart/Venlafaxine_CDS_Flow_Chart.jpg	257	100413
RxNorm:6387	lidocaine	PA450226	6387	DB00281	{C01BB01,C05AD01,D04AB01,N01BB02,R02AD02,S01HA07,S02DA01}	\N	\N	106	\N
RxNorm:6694	mefloquine	PA450348	6694	DB00358	{P01BC02}	\N	\N	106	\N
RxNorm:7299	neomycin	PA450608	7299	DB00994	{A01AB08,A07AA01,B05CA09,D06AX04,J01GB05,R02AB01,S01AA03,S02AA07,S03AA01}	\N	\N	87	826283
ATC:C09AA	Ace Inhibitors, Plain	PA164712308	\N	\N	{C09AA}	\N	\N	106	\N
RxNorm:1433212	levomilnacipran	PA166182150	1433212	DB08918	{N06AX28}	\N	\N	130	100413
ATC:L01A	Alkylating Agents	PA164712331	\N	\N	{L01A}	\N	\N	106	\N
RxNorm:588250	milnacipran	PA164752812	588250	DB04896	{N06AX17}	\N	\N	130	100413
ATC:N06AB	Selective serotonin reuptake inhibitors	PA164713257	\N	\N	{N06AB}	\N	\N	106	\N
