drugid	name	pharmgkbid	rxnormid	drugbankid	atcid	umlscui	flowchart	version	guidelineid
RxNorm:901805	velaglucerase alfa	PA166115366	901805	\N	\N	\N	\N	106	\N
RxNorm:1243041	ivacaftor	PA165950341	1243041	DB08820	{R07AX02,R07AX30}	\N	\N	243	100409
RxNorm:17128	lansoprazole	PA450180	17128	DB00448	{A02BC03}	\N	https://files.cpicpgx.org/images/flow_chart/Lansoprazole_CDS_Flow_Chart.jpg	245	110076
RxNorm:121243	voriconazole	PA10233	121243	DB00582	{J02AC03}	\N	https://files.cpicpgx.org/images/flow_chart/Voriconazole_CDS_Flow_Chart.jpg	244	100410
RxNorm:77492	tamsulosin	PA451583	77492	DB00706	{G04CA02}	\N	\N	106	\N
RxNorm:115698	ziprasidone	PA451974	115698	DB00246	{N05AE04}	\N	\N	105	\N
RxNorm:114176	zuclopenthixol	PA452629	114176	DB01624	{N05AF05}	\N	\N	106	\N
RxNorm:816346	dexlansoprazole	PA166110257	816346	DB05351	{A02BC06}	\N	https://files.cpicpgx.org/images/flow_chart/Dexlansoprazole_CDS_Flow_Chart.jpg	245	110076
RxNorm:3523	metamizole	PA166128206	3523	DB04817	{N02BB02}	\N	\N	165	110058
RxNorm:343047	atazanavir	PA10251	343047	DB01072	{J05AE08,J05AR15}	\N	https://files.cpicpgx.org/images/flow_chart/Atazanavir_CDS_Flow_Chart.jpg	245	100429
RxNorm:1256	azathioprine	PA448515	1256	DB00993	{L04AX01}	\N	https://files.cpicpgx.org/images/flow_chart/Azathioprine_CDS_Flow_Chart.jpg	324	100428
RxNorm:27340	desflurane	PA164749136	27340	DB01189	{N01AB07}	\N	https://files.cpicpgx.org/images/flow_chart/Desflurane_CDS_Flow_Chart.jpg	324	100427
RxNorm:3920	enflurane	PA449461	3920	DB00228	{N01AB04}	\N	https://files.cpicpgx.org/images/flow_chart/Enflurane_CDS_Flow_Chart.jpg	324	100427
RxNorm:5095	halothane	PA449845	5095	DB01159	{N01AB01}	\N	https://files.cpicpgx.org/images/flow_chart/Halothane_CDS_Flow_Chart.jpg	324	100427
RxNorm:2049549	plazomicin	PA166228921	2049549	\N	\N	\N	\N	213	826283
